common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,has_photo
amabilis fir,431,Two-Headed Boy,372,63,1.27,9,2016,2016,Stoltmann Grove,Youbou,Parks/reserves,Carmanah Walbran PP,48.6553,-124.69479,,"From the Carmanah Walbran parking lot (access from Rosander Main), follow signs for the Valley Mist trail. Where this trail hits a tee, go right following signs for the heaven tree/Stoltmann grove. Where the trail ends (at the large Sitka spruce with a prominent trailside burl), it tees into a dry creekbed running ~parallel to the active river system (NE - SW). The tree is ~75m heading left down the creekbed, on the right hand side. It can be viewed from points near the end of the trail, and from atop a fallen amabilis fir off to the right of the trail which goes over the creekbed.","Near the edge of a dry creekbed. Very narrow and straight, with a pronounced forked crown starting approximately 2/3 up the tree. Both tops are similar in height. Bark covered in moss for several meters. Much of the stem is visible from the vantage points.",Jon Degner,Vincent Hanlon,,,Vincent Hanlon,1
Sitka spruce,432,The Needle,582,80.9,2.46,15.2,2016,2016,Carmanah Valley,Youbou,Parks/reserves,Carmanah Walbran PP,48.65567,-124.69514,,"Starting from the Carmanah Walbran parking lot at the end of Rosander Main, walk down the Valley Mist Trail to the junction. Turn right (downstream) towards the Stoltmann Grove, and after passing the Heaven Tree, stay right at any forks in the trail. When the trail dead-ends in the Stoltmann Grove at a gully or creekbed filled with logs and vegetation, The Needle is the large spruce with a prominent burl on the left (downstream) side of the trail.","The Needle has an obvious burl near the base. It has a slight lean, and it is situated on the edge of the creekbed or gully that bounds the Stoltmann Grove on one side. It is near the obvious largest tree in the grove (circumference 8.48 m), but it is not immediately adjacent to it.

This tree was one of ten nominated by a UBC research team in the Carmanah Valley in July 2016. The team consisted of Matthew Beatty, Jon Degner, Vincent Hanlon, James Luce, and Ryan Murphy, as well as Sally Aitken, James Frystak, and TJ Watt, who were present part of the time.",Vincent Hanlon,Matthew Beatty,Jon Degner,,Vincent Hanlon,1
Sitka spruce,433,The Party Tree,630,84.4,2.71,22,2016,2016,Carmanah Valley,Youbou,Parks/reserves,Carmanah Walbran PP,48.65567,-124.69514,,"From the Carmanah parking lot at the end of Rosander Main descend the Valley Mist Trail to the junction. Turn right (downstream) and continue to the Randy Stoltmann Grove.  Once in the Grove, keep right. The largest tree on the right is The Party Tree, just opposite The Needle.","This is the largest tree in the Stoltmann Grove both in height and in girth. The Party Tree is named after the famous tree in the Lord of the Rings that is the site of Bilbo's birthday party. There is another tall tree just to the left of The Party Tree (between The Needle and The Party Tree) that is roughly 82 meters tall, or more.  

This tree was one of ten nominated by a UBC research team in the Carmanah Valley in July 2016. The team consisted of Matthew Beatty, Jon Degner, Vincent Hanlon, James Luce, and Ryan Murphy, as well as Sally Aitken, James Frystak, and TJ Watt, who were present part of the time",Vincent Hanlon,Matthew Beatty,Jon Degner,Ryan Murphy,Vincent Hanlon,1
Sitka spruce,434,Dunsinane,561,81.9,2.26,15,2016,2016,Carmanah Valley,Youbou,Parks/reserves,Carmanah Walbran PP,48.655936,-124.694769,,"Starting from the Carmanah parking lot at the end of Rosander Main, descend the Valley Mist trail and turn right (downstream) at the junction, towards the Randy Stoltmann Grove. In the Stoltmann Grove, turn left and walk through a dense patch of salmonberry on an overgrown trail leading downstream. The first large tree on the right is Dunsinane","Has a forked top, although it is not very obvious from the ground. Quite bushy low down, with adventitious branches. Situated opposite a 'walking hemlock' with exposed roots. 

This tree was one of ten nominated by a UBC research team in the Carmanah Valley in July 2016. The team consisted of Matthew Beatty, Jon Degner, Vincent Hanlon, James Luce, and Ryan Murphy, as well as Sally Aitken, James Frystak, and TJ Watt, who were present part of the time.",Vincent Hanlon,Ryan Murphy,Jon Degner,Matthew Beatty,Vincent Hanlon,1
trembling aspen^,436,,190,27.1,0.75,10.2,2016,2016,Klinaklini Valley,Tatla Lake,Institution/corp.,Nature Conservancy of CA,51.920219,-125.229766,2503,This tree is in a very remote location. Access is approximately 23 km SSW of Hwy 20 by rough ATV track starting at the Kleena Kleene landfill site.,The tree appears to be in good health with no distinguishing characteristics other than its size. This tree is shorter than nearby trees but has a larger diameter.,Peter Shaughnessy,,,,Joe Cortese,1
trembling aspen^,437,,186,30.2,0.65,7.6,2016,2016,Klinaklini Valley,Tatla Lake,Institution/corp.,Nature Conservancy of CA,51.920196,-125.230007,2503,This tree is in a remote location. Access is by rough ATV track starting at the Kleena Kleene landfill site along Hwy. 20. The tree is situated approximately 23 km ssw from there.,The tree was generally in good health.,Peter Shaughnessy,,,,Joe Cortese,1
interior Douglas-fir,438,,340,44,1.48,15.2,2016,2016,Lac des Roches,Bridge Lake,Provincial land,,51.51668,-120.62083,1190,Approximately 3 km on Potts Farm ATV Trail from highway 24 where trail begins at McCarthy Corner.,"Tree is generally healthy with multiple tops, fire charring (but no scars) on north-east side.  Crown is very lifted with first live branch at greater than 10 m height.  Salt block placed at the base of the tree so the area immediately around the tree is highly disturbed.",Ken MacKenzie,,,,Ken MacKenzie,1
Sitka spruce,439,Annie May,618,61.5,3.21,21.5,2015,2016,Golden Spruce Trail,Port Clements,Provincial land,,53.6328,-132.2152,20,On the Golden Spruce Trail SW of Pt Clements,Healthy,Michael Carlson,Ian Gould,,,Michael Carlson,1
Sitka spruce,440,Tanu,556,62.8,2.67,22.7,2015,2016,Golden Spruce Trail,Port Clements,Provincial land,,53.6328,-132.2133,22,Near the end of the Golden Spruce Trail.,Healthy,Michael Carlson,Ian Gould,,,Michael Carlson,1
Sitka spruce,441,Satcha,677,64,3.66,16.8,2015,2016,Yakoun River flat,Port Clements,Provincial land,,53.253,-132.094,11,"Many kms south of Pt  Clements on the Q.C. logging mainline, east side along Yakoun River.......about 1 km off road.....vigorous hike.","Many small scares and swellings, top intact.",Michael Carlson,Ian Gould,,,Michael Carlson,1
Sitka spruce,442,Charlie,676,61,3.69,23.1,2015,2016,Yakoun River Flat,Port Clements,Provincial land,,53.606,-132.209,13,South of Pt Clements off the Q. Charlotte mainline to the east.....significant walk in the forest to reach this tree.,"Live top, healthy tree",Michael Carlson,Ian Gould,,,Michael Carlson,1
western redcedar*,443,Mollie,641,41,4.01,12.5,2015,2016,Yakoun River Flat,Port Clements,Provincial land,,53.606,-132.224,35,South of Pt. Clements off the Q. Charlotte main to the east.,"Several trunk scars, burls, etc.....typical O.G. cedar.",Michael Carlson,Ian Gould,,,Michael Carlson,1
western white pine*,444,Chanterelle Pine,293,47.4,1.04,10,2017,2017,Chanterelle Forest,Sechelt,Provincial land,,49.46663,-123.68284,316,"Off Hwy 101 (Sunshine Coast) go up Field Rd, turn right onto Sechelt-Dakota FSR, drive approx. 2km north, turn right onto old logging road, go up hill for 0.5 km, park at next branch.  Follow 'Logger's Sports trail' down hill towards wet zone.","Healthy top, branches healthy, growing in wet zone with a few other pines.  Ground is flat but boggy.",Elphinstone Logging Focus,Ross Muirhead,Hans Penner,Rick O'Neil,Hans Penner,1
western redcedar*,447,,815,46.7,5.22,19.5,2018,2018,Central Walbran V.,Port Renfrew,Tree Farm Lic.,4411,48.660936,-124.579457,,"Drive from Port Renfrew or Cowichan lake to the bridge in the central walbran valley (direction can be found on friends of Carmanah Walbran website).  From the bridge, follow signs and a walking trail to the castle giant, continue past the castle giant 50m to the fork for a loop trail, which gains 200m of elevation to a bench where the grove perches.  There are 4 massive trees in the grove, this one is the farthest east, and notably the largest.","The tree is large and gnarly, with an open fisher big enough to sit in at the base.  The tree is ancient in appearance, but it seems in good health.",Will O'Connell,Alex Smith,,,Will O'Connell,1
bigleaf maple,448,Wesbrook Ravine Maple,316,46.7,1.2,17.6,2016,2019,Wesbrook Ravine,Vancouver,Municipal/city,Pacific Spirit Park,49.244761,-123.234167,60,"From intersection of Wesbrook and Marine Drive, old-growth forest is seen around ravine bowl to the south. This tree is on the right side of the bowl and is not very notable until you see that the highest branch reaches very high.",Grows on moderate slope in old forest. Sandy soil with some erosion. Very upright stem for species - forest grown. First branch at 18.7m. Main stem broken at around 30m. Secondary leader reaches upwards into canopy gap and has thick foliage. Good vigour overall. Minor exposure.,Ira Sutherland,,,,Ira Sutherland,1
Sitka spruce,450,,684,75.1,3.41,20.2,2019,2019,Mossome Grove,Port Renfrew,Woodlot Lic.,1957,hidden,,,Near the San Juan Giant (ID# 175),Tree appears to be in great health. Main trunk splits in two about a third of the way up. Smaller stem is actually the tallest part of the tree.,TJ Watt,Ancient Forest Alliance,,,A MacKinnon,1
Sitka spruce,451,,685,69,3.56,22.7,2019,2019,Mossome Grove,Port Renfrew,Provincial land,,hidden,,,Easy to get to. Near the San Juan Giant (ID# 175). ,Has a hollow on one side near the ground that you can peek into. Used to have some burls on the trunk but looks like they were cut off years ago.,TJ Watt,Ancient Forest Alliance,,,A MacKinnon,1
bigleaf maple,452,Woolly Giant,369,24.1,2.16,26.1,2019,2019,Mossome Grove,Port Renfrew,Woodlot Lic.,1957,hidden,,,Near the San Juan Giant (ID# 175),The most notable feature of this super shaggy maple tree is an enormously long branch the extends roughly 20m out from the trunk of the tree!!,TJ Watt,Ken Wu,Andrea Inness,,A MacKinnon,1
coastal Douglas-fir,453,Alberni Giant - 1513-002,683,65,3.64,24.1,2019,2019,Riverside Main,Port Alberni,Provincial land,BCTS Legacy Tree,49.187109,-125.0825,125,"Follow Hiway 4 west through Port Alberni. After crossing the 'Orange' bridge over the Somass River, drive 0.6km and then turn left on to McCoy Lake Road. Follow McCoy Lake Road to the junction with Stirling Arm Drive. Follow Stirling Arm Drive to the intersection with Ash Main. Turn left onto Ash Main and drive 1km to the junction with Stirling Main. turn right onto Stirling Main and follow it for 12km to the junction with Gracie Main. Turn left onto Gracie Main and follow it for 6km to the junction with Gracie Hook-up. Keep right onto the Gracie Hook-up and follow it for 2km to the junction with Nahmint Main. Turn right onto Nahmint Main and drive 1.2km to the bridge crossing the Nahmint River. Once across the one-lane bridge, drive 0.2km to the junction with Riverside Main. Turn left onto Riverside Main and drive 1.7km to Block 1513 located on the west side of the road. If you drive past a small weedy lake to your right, you have driven past Block 1513 and the tree. There is a small road on your right just past the lake which makes a convenient turnaround. The tree is very visible along the skyline beyond the southern boundary of Block 1513. There is a rough trail from the road (approximately 20m past the southern falling boundary of the block that leads up to 1513-002. You will pass a large Western Redcedar (Legacy Tree 1513-001, 3.15m in diameter or 9.9m in circumference) as you climb the slope up to 1513-002. There is another large Western Redcedar (Legacy Tree 1513-003, 3.11m in diameter or 9.8m in circumference) located approximately 25m up slope of 1513-002. All trees are marked with bright yellow BCTS Legacy Tree plaques. Use caution when traveling on gravel Forest Service roads. These are active industrial roads and expect to meet large vehicles at any time!",1513-002 is a Douglas-fir in good health. There are no apparent signs of rot present upon a visual inspection of the tree. The tree is largely intact with only a few small broken limbs present in the upper portion of the canopy. there are several moderate-sized burls (approximately 1m across and flattened) on the up-slope side of the tree. It is located within the CWH vm1 and is situated on a small bench located on the lower slope with a NE aspect. The tree can be considered to be windfirm as it is sheltered within a 12.1 hectare Old Growth Management Area. This OGMA contains several other Legacy Trees (two Western Redcedar; 1513-001 and 1513-003).There is minimal evidence of historic windthrow in the vicinity of 1513-002 or throughout the OGMA. ,BCTS Legacy Trees,,,,Greg Herringer,1
yellow-cedar*,454,LT# C4DT-001,377,37,2.01,9,2018,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.047528,-125.268056,700,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-001 is located in CWHvm2(09) on a steep (60%) mid-slope with a northeast aspect. The tree is growing on a small rocky knoll surrounded by medium colluvium.,BCTS Legacy Trees,,,,Greg Herringer,1
yellow-cedar*,455,LT# C4DT-002,348,27,2.03,8.7,2018,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.048667,-125.2675,620,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-002 is located in the CWHvm2(01)situated on a small bench situated mid-slope and adjacent to a deep gully system. Slope has a NE aspect.,BCTS Legacy Trees,,,,Greg Herringer,1
amabilis fir,456,LT# C4DT-003,337,56,1.17,8.7,2019,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050102,-125.271667,545,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-003 is located in the CWHvm2(07) and is situated midslope on a small colluvial fan with a near-vertical rock wall approximately 25m to the East. The slope is approximately one of 75% with a N aspect.,BCTS Legacy Trees,,,,Greg Herringer,1
amabilis fir,457,LT# C4DT-004,358,56,1.35,10.3,2019,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050236,-125.271944,525,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-004 is located in the CWHvm2(01) and is situated on a small bench mid-slope with a NE aspect.,BCTS Legacy Trees,,,,Greg Herringer,1
amabilis fir,458,LT# C4DT-005,364,58,1.32,10.8,2019,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050389,-125.271667,525,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-005 is located in the CWHvm2(01) and is situated on a small bench mid-slope with a NE aspect.,BCTS Legacy Trees,,,,Greg Herringer,1
amabilis fir,459,LT# C4DT-006,378,61,1.35,9.9,2019,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050167,-125.2725,545,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-006 is located in the CWHvm2(01) and is situated mid-slope. The slope (50%) has a N aspect. ,BCTS Legacy Trees,,,,Greg Herringer,1
amabilis fir,460,LT# C4DT-007,372,61,1.32,8.3,2019,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.0501,-125.2725,550,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-007 is located in the CWHvm2(03) and is situated on the upper slope (55%) with a N aspect. This is an area of medium to large colluvium originated on the near-vertical rock face 20m upslope.,BCTS Legacy Trees,,,,Greg Herringer,1
interior Douglas-fir,461,,,,1.58,,2019,2019,Ridge Road,Big Lake,Provincial land,WFM,51.123456,-127.123456,950,"From Williams Lake drive south to 150 mile house, turn left towards Horsefly/Likely, turn left towards Likely, drive past Big lake, turn left onto Beaver Lakes Road, turn right onto 8300 (ridge road), turn right onto side road at 4km, turn left in 825m, turn left in 250m, turn right in 200m, turn right in 350m. Drive to end and park. Navigate to tree. Approximately 300m east down 45% slope.","A healthy tree on a flat wet shady site, protected by steep ridge above, estimated height of 45m.",Aaron Watts,,,,Aaron Watts,1
western larch,463,Cameron,263,28.5,1.34,5.3,2019,2019,Miller Cr Rd,Grand Forks,Provincial land,BCTS - TKO,49.209928,-118.368328,1100,"From the east end of Grand Forks, B.C. proceed north on Granby Road approx. 23km to the POC of the Miller Cr. FSR on the right (east) side.  Proceed on the Miller Cr. FSR approx. 8.2km to the Cameron Cr. bridge.  Park here and walk approx 800m on the Miller Cr. FSR to the tree on the left (west) side of the road.","Aspect - SW, slope 14%.  Tagged as a ""Wildlife tree. Tree had a dead top in 2016, which has since broken off. Though bark is intact, tree shows signs of woodpecker damage near the base. Approx. 50% of remaining branches have green needles.
Tree is located at the bottom of Miller Cr. FSR fill-slope, adjacent to logged block",BCTS TKO Boundary,Jeff Holitzki,Phil MacDonald,Blake Allen,Jeff Holitzki,1
Ponderosa pine,464,,301,40,1.28,14.5,2019,2019,Corral Trail,Coldstream,Parks/reserves,Kalamalka PP,50.20504,-119.27354,508,"Drive to park via Kidston rd. Park at first parking lot (called Red Gate parking lot because of the red gate), and head down the trail marked ""Corral Trail"". Continue along Corral for approx. 700m and the tree should be on your left. It is mostly visible from the trail.",Healthy tree. Forked about halfway up.,Leah Rettenbacher,Evan Rettenbacher,Emma Rettenbacher,Victor Rettenbacher,Leah Rettenbacher,1
western larch,465,,354,44.4,1.62,9,2019,2019,Hellroaring Cr.,Kimberley,Provincial land,CanFor,49.553467,-116.204783,1340,"From Kimberley : Take Hwy 95A towards Cranbrook. Turn R onto St Mary's Lake Rd. Turn L onto Lakeside Rd and continue onto Hellroaring FSR. Keep R at first fork, then stay L on Hellroaring FSR (do NOT go onto Meachen FSR). You will cross Hellroaring Creek over a bridge.TThe tree is 50m back from the 9km marker and roughly 4km past the 31km marker. The boulderfield will be on your L, the last km marker I remember seeing was for 30km up. If you cross a 2nd bridge, you have gone too far (but there is a good turnaround spot there). The biggest larch is within 20m of the road. The others can be located by scrambling around the boulderfield. 
From Cranbrook: Take Hwy 95A towards Kimberley. Continue through Marysville. Turn L onto St Mary's Lake Rd; the rest is the same as above.","Minimal lower stem damage/decay, but displays signs of larger branch and top breakage characteristic of larger larches. The largest larch was located at the toe of a scree slope, NW aspect.  Growing all around the edges scree slope were similarly large larches: 26 trees measured were >3m and 4 were >4m. Many of the trees, especially those on the southeast (top of the slope) side of the scree slope bore fire scars and charring suggestive that they survived a fire decades ago.  Height to live crown 8m, ht to broken top 39m, branches ascend upward a few meters. Woodpecker holes on bottom 2 m.",Kara Froese,,,,Oliver Thomae/Dave Hale,1
trembling aspen^,466,,192,30.2,0.69,9.5,2019,2019,Kimberley Nature Park,Kimberley,Provincial land,,49.520973,-116.002753,1016,"Take Highway 95A South from Kimberley's downtown for 5.7 kms, then turn right onto St. Mary Lake Road.  Park at Campground trailhead on North side of St. Mary Lake Road at approximately 3km. 500m hike or bike to Hoodoo View Trail junction and 100m to creek crossing.","One of more large limbs have broken off near the top, affecting canopy size and shape. Live crown is quite small, and one branch and gap in the crown are visible on the City airphoto.  This tree is one of two aspen trees growing right on a creek.  The creek goes underground just past a footbridge, then comes out in a small channel right under this tree. ",Dave Hale,,,,Dave Hale,1
bitter cherry*,467,,144,25.1,0.44,8,2019,2019,Englishman R. Estuary,Parksville,Parks/reserves,Nature Trust of BC,49.192434,-124.173721,3,"Parksville B.C. East end of Shelly Road. 300 meters from the parking lot along the main trail on the left hand side of the trail, adjacent to the trail.","Forked stem at 10 meters.  Some sapsucker evidence. Surrounded by Coastal Douglas Fir second growth ecosystem with Grand Fir, Western Red Cedar, Red Alder and Bigleaf Maple. Adjacent to the Englishman River Estuary, very fertile good growing site, flat aspect and no slope.",Gary Murdock,,,,Gary Murdock,1
black cottonwood^,468,,294,42.3,1.14,18,2019,2019,Lois Cr. Trails,Kimberley,Tree Farm Lic.,,49.718235,-115.969721,1216,"From downtown Kimberley drive up to the townsite area, past the Kimberley Medical Clinic.  Access the Lois Cr. Trails from the 8th and Elko trailhead.  Take Bart's out to P Junction (2.1 km).  Then follow A Frame north for about 1.2 km.  The Big Tree is located just past another cotttonwood which is right on the trail.   The tree is about 50m before a long boardwalk and 15m in from the trail, near a fallen spruce. ","Large burl and fungus shown on photo. This tree is located within a wet meadow with spruce and cedar in an uncut reserve  between logged areas.  The meadow forms an unusual shape as it runs just north and east of a very sharp, forested ridge. The lower few branches are dead, live above 13m, and the main trunk starts to branch at 16m+.",Dave Hale,,,,Dave Hale,1
