common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo formula
coastal Douglas-fir,493,Mossome Fir,,,2.68,,2020,2020,Mossome Grove,Port Renfrew,Woodlot Lic.,46,hidden,,,,A large Douglas-fir growing somewhat on its own. Nice thick bark!,TJ Watt,Ian Campbell,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/493_Fd_Mossome_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,494,Cheewhat Cedar 1,,,4.19,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.688245,-124.7461,,Involves a bushwhack through the forests on the eastern side of the lake. ,A wide and impressive cedar that splits into two trunks a third of the way up. Other amazing cedars just down slope from this one.,TJ Watt,Graham Ball,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/494_Cw_1_Cheewhat_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,495,Redwood Cedar,,,3.96,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.68838,-124.746532,,Involves a bushwhack through the forests on the eastern side of the lake. ,A truly gargantuan cedar that looks like a redwood. Very little taper in the trunk. Healthy with two large banches that extend outwards like flexing arms.,TJ Watt,Graham Ball,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/495_Cw_Redwood_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,496,Spliter Cedar,,,4.44,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.689222,-124.747883,,Involves a bushwhack through the forests on the eastern side of the lake. ,A monster of a redcedar that splits into 3 twisted trunks a short ways up. Hidden amongst dense brush.,TJ Watt,Graham Ball,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/496_Cw_Splitter_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,497,Cheewhat Cedar 2,,,3.83,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.687487,-124.749032,,Involves a bushwhack through the forests on the eastern side of the lake. ,Massive cedar with a burl on the backside. Another giant close by but appears to be dead.,TJ Watt,Graham Ball,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/497_Cw_2_Cheewhat_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,498,Twisted Tower,,,4.43,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.683092,-124.753483,,Involves a bushwhack through the forests on the eastern side of the lake. ,An absolutely stunning & enormous cedar growing on a slope above the lake. Bark has amazing swirly patterns and theres a big burl on the left face of the tree below a big iterating branch. Some hollowing inside. ,TJ Watt,Graham Ball,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/498_Cw_Twisted_Tower_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,499,Cheewhat Cedar 3,,,4.01,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.683107,-124.754705,,Involves a bushwhack through the forests on the eastern side of the lake. ,Nothing super notable other than it's huge!,TJ Watt,Graham Ball,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/499_Cw_3_Cheewhat_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,500,Triple Spire Cedar,708,32.3,4.77,15.05,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.683468,-124.75532,,Involves a bushwhack through the forests on the eastern side of the lake. ,"A truly monumental cedar growing on a slope just up from the lake. Side on slope appears healthy, opposite side breaking apart and hollowing out. Transforms into three spires a short ways up!",TJ Watt,Graham Ball,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/500_Cw_Cheewhat_TripleSpire_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,501,,,,2.83,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.681173,-124.762688,,Involves a bushwhack through the forests to the bottom end of the lake.,A sizable spruce amongst a grove of a dozen more. Difficult to access but beautiful forest at the south end of the lake.,TJ Watt,Graham Ball,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/501_Ss_Cheewhat_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,502,,,,3.26,,2020,2020,Caycuse River,Lake Cowichan,Private land,,48.798333,-124.666268,,Bushwhack down hill from Rosander Mainline to flats along Caycuse River,"A big & beautiful spruce with many branches extended quite low to the ground. A bigleaf maple with long, trailing limbs grows nearby. Lots of elk sign.",TJ Watt,Graham Ball,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/502_Ss_Caycuse_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,503,Klanawa Spruce #1,,,3.62,,2020,2020,Klanawa River,Bamfield,Tree Farm Lic.,44,48.791943,-124.863047,,Bushwack in from NF 1400 along North Fork Main.,A truly impressive spruce that comes by its size honestly. Grows amongst a few other giants not far from the riverbank of the Klanawa River. Just outside the edge of a Wildlife Habitat Area.,TJ Watt,Ian Campbell,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/503_Ss_1_Klanawa_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,504,Klanawa Spruce #2,,,3.2,,2020,2020,Klanawa River,Bamfield,Tree Farm Lic.,44,48.779578,-124.89214,,Take Klanawa Main to KM 1200 spur road then KM 1107. Bushwhack downslope and into the flats.,"A tall, cylindrical spruce that catches your eye from afar. Protected within  a Wildlife Habitat Area. Recent logging encroaching close by.",TJ Watt,Ian Campbell,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/504_Ss_2_Klanawa_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,505,Watchtower Spruce,,62.48,2.91,,2020,2020,Klanawa River,Bamfield,Tree Farm Lic.,44,48.793617,-124.844592,,Access off of NF 1400 along North Fork Main.,"A tall sitka spruce growing on the edge of a recent cutblock in the Klanawa Valley. Stark contrast in spring between the lush, green plants around the tree and grey slash in the clearcut.",TJ Watt,Ian Campbell,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/505_Ss_Watchtower_Klanawa_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/505_Ss_Watchtower_Klanawa_TW_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/505_Ss_Watchtower_Klanawa_TW_3.jpg"" target=""_blank"">3</a>      "
Sitka spruce,506,Sorrel Sentinel,,,3.54,,2020,2020,Klanawa River,Bamfield,Tree Farm Lic.,44,48.775618,-124.895872,,Take Klanawa Main to KM 1200 spur road then KM 1107. Bushwhack downslope and into the flats.,A beautiful spruce  growing in the lush valley bottom of the Klanawa River festooned with redwood sorrel at its base. Hard to get to but an impressive tree. Protected in a Wildlife Habitat Area.,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/506_Ss_Sorrel_Klanawa_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/506_Ss_Sorrel_Klanawa_TW_2.jpg"" target=""_blank"">2</a>         "
Sitka spruce,507,Big Burl Boss,,,3.88,,2020,2020,Klanawa River,Bamfield,Tree Farm Lic.,44,48.773595,-124.89947,,Take Klanawa Main to KM 1200 spur road then KM 1107. Bushwhack downslope and into the flats.,"A big, burly, boss-like spruce growing in dense forest along the Klanawa River. Protected in a Wildlife Habitat Area.",TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/507_Ss_BigBurl_Klanawa_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,508,Rhino Foot Spruce,,,3.44,,2020,2020,Nitinat River,Lake Cowichan,Tree Farm Lic.,44,48.861932,-124.651027,,Take Nitinat Main to the Nitinat Junction. Bushwhack to the GPS location.,A wide base spruce that stands in an impressive grove of other sitkas as well. Currently protected in an Old-Growth Management Area.,TJ Watt,Ian Campbell,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/508_Ss_Rhino_Nitinat_TW.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/508_Ss_Rhino_Nitinat_TW_2.jpg"" target=""_blank"">2</a>         "
Sitka spruce,509,Nitinat spruce #1,669,71.3,3.36,22.88,2020,2020,Nitinat River,Lake Cowichan,Tree Farm Lic.,44,48.863375,-124.647447,,Take Nitinat Main to the Nitinat Junction. Bushwhack to the GPS location.,A perfect spruce specimin in a beautiful forest fillled with elk. Currently protected in an Old-Growth Management Area.,TJ Watt,Ian Campbell,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/509_Ss_1_Nitinat_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,510,,,,3.68,,2020,2020,Nitinat River,Lake Cowichan,Parks/reserves,Nitinat River PP,48.90075,-124.548997,,Take Nitinat Main to Nitinat Falls Provincial Park. Bushwhack down steep slope into the flats. Tree is hidden amongst dense foliage near the river.,"An enormous redcedar growing in the flood plains of the Nitinat River. Decorated with lots of low, sweeping branches. Quite the sight!",TJ Watt,Ian Campbell,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/510_Cw_Nitinat_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,511,Colossus,,,3.36,,2020,2020,Nitinat River,Lake Cowichan,Parks/reserves,Nitinat River PP,48.864187,-124.637585,,Take Cowichan Main to the Nitinat Junction. Turn right onto Carmanah Mainline and cross the bridge over Nitinat River. Bushwhack into Nitinat River Provincial Park. Tree is close to rivers edge a distance in.,A colossul Sitka spruce growing within the provincial park. A stunning sight to see with other giants right nearby.,TJ Watt,Ian Campbell,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/511_Ss_Colossus_Nitinat_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/511_Ss_Colossus_Nitinat_TW_2.jpg"" target=""_blank"">2</a>         "
western redcedar*,512,Chamber Cedar,,,3.78,,2020,2020,Nitinat River,Lake Cowichan,Parks/reserves,Nitinat River PP,48.86421,-124.63708,,Take Cowichan Main to the Nitinat Junction. Turn right onto Carmanah Mainline and cross the bridge over Nitinat River. Bushwhack into Nitinat River Provincial Park. Tree is close to rivers edge a distance in.,A wall-of-a-cedar that appears solid on one side but has an opening on the back that enters into a giant chamber with firescars inside. The floor is all sand due to past flooding from the river nearby. Very cool tree!,Ian Campbell,TJ Watt,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/512_Cw_Chamber_Nitinat_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/512_Cw_Chamber_Nitinat_TW_2.jpg"" target=""_blank"">2</a>         "
Sitka spruce,513,Nitinat spruce #2,629,61.57,3.31,20.9,2020,2020,Nitinat River,Lake Cowichan,Tree Farm Lic.,44,48.875712,-124.619693,,Take BR 60 off of Carmanah Mainline. Buswhack to GPS point through beautiful forest.,A very nice spruce growing on the flats of the Nitinat River. Currently unprotected.,TJ Watt,Ian Campbell,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/513_Ss_2_Nitinat_TW.jpg"" target=""_blank"">1</a>            "
coastal Douglas-fir,514,Nitinat Fir #1,,,2.59,16.32,2020,2020,Nitinat River,Lake Cowichan,Tree Farm Lic.,44,48.876752,-124.6191,,Take BR 60 off of Carmanah Mainline. Buswhack to GPS point through beautiful forest.,A large Douglas-fir with a hemlock growing off the side. Nice and open around the tree. Other big Doug-firs nearby.,TJ Watt,Ian Campbell,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/514_Fd_1_Nitinat_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,515,Nitinat spruce #3,614,62.18,3.2,16.25,2020,2020,Nitinat River,Lake Cowichan,Tree Farm Lic.,44,48.879178,-124.614813,,Take BR 60 off of Carmanah Mainline. Buswhack to GPS point through beautiful forest.,"A nice, stately spruce at the backend of a flat and easily accessible grove. A dozen or so other nice spruce around as well as big leaf maple. Currently no protection in place.",Ian Campbell,TJ Watt,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/515_Ss_2_Nitinat_TW.jpg"" target=""_blank"">1</a>            "
coastal Douglas-fir,516,Nitinat Fir #2,,70.1,2.51,,2020,2020,Nitinat River,Lake Cowichan,Parks/reserves,Nitinat River PP,48.898578,-124.562067,,Involves bushwack through the park to the tree starting on the north side of the river.,A big Douglas-fir with a fire scarred trunk. Other larger firs in the vacinity though this appeared to be the biggest. Nice open grove!,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/516_Fd_2_Nitinat_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,517,Monarch Spruce,,,3.1,,2020,2020,San Juan River,Port Renfrew,Provincial land,BCTS,hidden,,,Bushwhack through second-growth off of Red Creek Mainline down towards the San Juan River. You will have to navigate a steep slope adjacent to a beautiful waterfall. Tree is down on the flats amongst a few other big ones too.,A very impressive Sitka spruce tree growing on the flood plain of the San Juan River,Ian Campbell,TJ Watt,Matthew Beatty,,Matthew Beatty,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/517_Ss_Monarch_SanJuan_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,518,San Jan Spruce #2,,,3.37,,2020,2020,San Juan River,Port Renfrew,Institution/corp.,TimberWest,hidden,,,"Hellish bushwhack through exteremely dense stink currant, salmon berry, and swamps  from Red Creek Main. Might be easier to approach from river. Not for the faint of heart!",A tower of a spruce with big reiterating branches and a deep 'v' split between the dual trunks part way up. Might split down the middle one day! Another big spruce right beside it as well.,Ian Campbell,TJ Watt,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/518_Ss_1_SanJuan_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,520,San Jan Spruce #3,,,3.1,,2020,2020,San Juan River,Port Renfrew,Institution/corp.,TimberWest,hidden,,,"Hellish bushwhack through exteremely dense stink currant, salmon berry, and swamps  from Red Creek Main. Easier to approach from river. Not for the faint of heart!",A big spruce. There are others nearby.,Ian Campbell,TJ Watt,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/520_Ss_2_SanJuan_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,521,Gaston,,,2.6,,2020,2020,San Juan River,Port Renfrew,First Nations,,hidden,,,Bushwhack in from spru road off of Harris Creek Main.,A big spruce with strong arms like Gaston,Ken Wu,TJ Watt,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/521_Ss_Gaston_SanJuan_TW.jpg"" target=""_blank"">1</a>            "
bigleaf maple,522,Mossy Maple,,,2.28,,2020,2020,Mossy Maple Grove,Lake Cowichan,Institution/corp.,TimberWest,hidden,,,,A large bigleaf maple with a split trunk. Half appears to be dead but the other part is alive.,TJ Watt,,,,TJ Watt,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/522_Mb_Mossy_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,523,Lone Cedar,,,3.69,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.699033,-124.73786,,Bushwhack in from Rosander Mainline,A big redcedar standing alone amongst a forest of smaller hemlock trees.,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/523_Cw_Lone_Cheewhat_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,524,Doobah Twizzler,,,4.04,,2019,2020,Doobah Lake,Lake Cowichan,Private land,,48.721457,-124.759505,,Take spur road off of Rosander Mainline towards Doobah Lake.,"A giant, twirling redcedar tree growing at Doobah Lake. This area was previously potected as an Old-Growth Management Area but was later privatized for the Ditidaht First Nation as part of the their ITA and who have now logged much of the old-growth along the lake. The area is home to some of the very biggest ancient cedars and amazing CMTs - where they still remain.",TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/524_Doobah_Twizzler_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,525,Cheewhat Cedar 4,,,4.16,,2019,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.690397,-124.745782,,Bushwhack in off of Rosander Main or from the trail to the Cheewhat Giant.,A behemoth of a cedar. Splits into two trunks halfway up. This lake grows the most amazing trees!,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/525_Cw_4_Cheewhat_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,526,Triceratops Cedar,,43,4.46,,2019,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.689937,-124.746145,,Bushwhack in off of Rosander Main or from the trail to the Cheewhat Giant.,Trunk splits into another enormous arm part ways up and bark has incredible swirling patterns on it. Big hemlock roots growing off the side. Grows in a beautiful deer fern glade with a number of other massive cedars around it. One of the most beautiful spots around the lake.,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/526_Cw_Triceratops_Cheewhat_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/526_Cw_Triceratops_Cheewhat_TW_2.jpg"" target=""_blank"">2</a>         "
western redcedar*,527,,,,2.52,,2019,2020,Nahmint Lake,Port Alberni,Provincial land,BCTS,49.19044,-125.09718,,"Take Nahmint Main to View Main and bushwhack downslope, across creek, and up the hill.",A nice cedar on the slope. GPS coordinates may be slightly off.,TJ Watt,Mike Stini,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/527_Cw_Nahmint_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,529,Nahmint Giant,690,38.4,4.47,12.5,2018,2020,Nahmint Lake,Port Alberni,Provincial land,BCTS,49.191493,-125.10457,,Take Nahmint Main to Riverside Main to View Main and then first spur on left. Tree is in strip of forest to left between the spur and the creek.,A monumental redcedar growing in the Nahmint Valley. Recent logging has enchroached on the tree. Other giants may exist on adjacent hillsides.,TJ Watt,Andrea Inness,,,Matthew Beatty,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/529_Cw_NahmintGiant_TW.jpg"" target=""_blank"">1</a>            "
coastal Douglas-fir,530,Double Hug Doug,543,65.53,2.56,13.44,2018,2020,Nahmint Lake,Port Alberni,Provincial land,BCTS,49.177707,-125.064077,,A short bushwhack off of Riverside Main in the Nahmint Valley.,A giant Douglas-fir that really deserves two hugs! Lots of a little burls on the trunk. Truly impressive tree.,TJ Watt,Andrea Inness,,,Matthew Beatty,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/530_Fd_DoubleHug_Nahmint_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/530_Fd_DoubleHug_Nahmint_TW_2.jpg"" target=""_blank"">2</a>         "
coastal Douglas-fir,531,Edinburgh Fir #1,,,3.28,,2018,2020,Edinburgh Mountain,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.630917,-124.41847,,Take Gordon River Mainline to Edinburgh Main and drive nearly to the end. A spur road goes up hill and on the left where recent logging took place. This fir is in a small leave strip adjacent to cutblock. ,A enormous Douglas-fir tree now growing on the edge of a cutblock. Windthrow has taken away from the asthetic of the area. Still an impressive sight to see. Remains unprotected.,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/531_Fd_1_Edinburgh_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/531_Fd_1_Edinburgh_TW_2.jpg"" target=""_blank"">2</a>         "
coastal Douglas-fir,532,Edinburgh Fir #2,,,3.04,,2018,2020,Edinburgh Mountain,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.630838,-124.417508,,Take Gordon River Mainline to Edinburgh Main and drive nearly to the end. A spur road goes up hill and on the left where recent logging took place. This fir is on the right hand edge of a small leave strip adjacent to cutblock. ,A gigantic Douglas-fir growing on the edge of a cutblock among smaller hemlock trees.,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/532_Fd_2_Edinburgh_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,533,Castle Giant,,,4.91,,2017,2020,Walbran Valley,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.657693,-124.582512,,"Drive to the unprotected Central Walbran Valley. From there, follow signage and trails to the Castle Grove and the Castle Giant Tree.",One of the most famous and reconizable cedars in the Walbran Valley. An absolutely giant. Used to be home to a canopy research station as well.,Ancient Forest Alliance,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/533_Cw_Castle_Walbran_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,534,,702,50,4.26,13,2017,2020,Walbran Valley,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.65728,-124.585563,,"Drive to the unprotected Central Walbran Valley. From there, follow signage and trails to the Castle Grove and the Castle Giant Tree. Tree is hidden just off trail on the left about 3/4 the way through. Access is discouraged at this time.",A massive cedar wall looms in front of you as you approach this giant found by trail worker volunteers in recent times. Amazing tree!,Ancient Forest Alliance,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/534_Cw_Walbran_TW.jpg"" target=""_blank"">1</a>            "
coastal Douglas-fir,535,Gordon Fir,,50.29,2.17,,2019,2020,Gordon River Valley,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.62564,-124.43335,,A short bushwhack off Gordon Mainline a few minutes past Avatar Grove down towards the river.,A nice looking straight Douglas-fir with a broken top. Had a mountain bike ramp constructed beside it in the past as well.,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/535_Fd_Gordon_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,536,Slopetop Cedar,,,3.45,,2019,2020,Gordon River Valley,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.628025,-124.436747,,A bushwhack off Gordon Mainline a few minutes past Avatar Grove and down towards the river. Starts in second growth then enters into beautiful old-growth on a flat bench overlooking another bench.,This huge cedar grows right on the edge of a flat bench overlooking another bench below. A truly impressive spot to just stop and take it all in. A second giant cedar grows just a short distance away downslope. This area is unprotected and may be logged at any time.,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/536_Cw_slopetop_Gordon_TW.jpg"" target=""_blank"">1</a>            "
coastal Douglas-fir,537,San Juan Fir #1,,,2.22,,2019,2020,San Juan River,Port Renfrew,Woodlot Lic.,Teal-Jones,hidden,,,,,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/537_Fd_1_SanJuan_TW.jpg"" target=""_blank"">1</a>            "
coastal Douglas-fir,538,San Juan Fir #2,,,2.04,,2019,2020,San Juan River,Port Renfrew,Woodlot Lic.,Teal-Jones,hidden,,,,,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/538_Fd_2_SanJuan_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,539,San Jan Spruce #4,,,2.23,,2019,2020,San Juan River,Port Renfrew,Woodlot Lic.,Teal-Jones,hidden,,,,A nice spruce growing near the banks of the river.,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/539_Ss_3_SanJuan_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,540,Oh My Darling!,,,4.21,,2020,2020,Darling River,Bamfield,Tree Farm Lic.,WFP,48.737148,-125.04506,,A challenging bushwhack off spur road DR 400 access via Darling Main in the Klanawa Valley region.,A gigantic redcedar that really does impress. A key hole lets light through at the right time of day. You might just find yourself saying 'Oh my Darling!',Ian Campbell,TJ Watt,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/540_Cw_OhmyDarling_TW.jpg"" target=""_blank"">1</a>            "
Sitka spruce,542,,652,47.5,3.85,25,2020,2020,Caycuse River,Lake Cowichan,Private land,,48.797757,-124.666683,,"Drive from Lake Cowichan to Nitinat Lake and then towards Carmanah Valley. Cross the bridge over the Caycuse River and head up hill. Keep your eye open for a big spruce sticking out above the surrounding trees on the right hand side of the road. Park here, check out that spruce, then carry on downhill and into the flats to find the tree.",Has broken top. Grows on the edge of a creek bank. Nice maples around as well and lots of elk sign. A second big spruce is just beyond through the woods.,TJ Watt,,,,TJ Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/542_Ss_Caycuse_TW.jpg"" target=""_blank"">1</a>            "
interior Douglas-fir,543,,300,31.1,1.5,15.8,2016,2020,Lundbom Lake,Merritt,Parks/reserves,Lundbom Comm. GR.,50.09833,-120.5919,,"Lundbom Rd., off of highway 97C, east of Merritt.",,Shaun Muc,,,,Shaun Muc,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/543_Dfi_Ludholm_SM.jpg"" target=""_blank"">1</a>            "
Ponderosa pine,544,,341,45.9,1.45,14.7,2020,2020,Three Blind Mice,Naramata,Provincial land,Okanagan Forest,49.567838,-119.544699,855,"The Three Blind Mice trail network can be accessed by driving from Penticton north along Naramata Road.  Turn right (about 6 to 7 km from downtown Penticton) onto Riddle Road and drive to the top of the road where roadside parking is available.  The walk or ride to the tree is about 5 to 5.5 km one way.  Enter the attached URL into your browser to access the trail map:  look for the intersection of Pinecone and Ponderosa trails, located near the middle of the trail network.  https://www.trailforks.com/region/three-blind-mice/map/?activitytype=1&z=12.0&lat=49.56396&lon=-119.55505","The tree is located at the base of a moderate west facing slope in a relatively flat area.  The tree is in good health and does not appear to have a broken top.  A good view of the top of the tree is difficult due to the surrounding Ponderosa pine and Douglas-fir trees, which partially block the view. The area is used by mountain bike and hiking enthusiasts.  In general, the area is characterized by steep rocky bluffs and flat benches.  The larger trees tend to grow on the benches or in ravines where moisture is more plentiful.  The area is used by whitetail deer, elk, black bear and coyote, as well as numerous species of birds.",Paul Commandeur,,,,Paul Commandeur,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/544_Pp_3blindmice_AM.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/544_Pp_3blindmice_PC.jpg"" target=""_blank"">2</a>         "
